sentiments,cleaned_review,cleaned_review_length,review_score
positive,i wish would have gotten one earlier love it and it makes working in my laptop so much easier,19,5.0
neutral,i ve learned this lesson again open the package and use the product right away ordered this mouse in august as my travel mouse and just packed it away in my bag now ve been visiting family in the pnw since mid september the mouse took charge and worked fine for couple of weeks after recharged the mouse it worked for day or two and then ceased to function the optical light will flash once when turned on then nothing of course the return window is well past ,88,1.0
neutral,it is so slow and lags find better option,9,2.0
neutral,roller ball stopped working within months of minimal use piece of junk ,12,1.0
neutral,i like the color and size but it few days out of the return period and it will not hold charge,21,1.0
positive,overall love this mouse the size weight clicking is all fabulous however ve had two of these now and the middle scroller has randomly fallen in without rough use it wasn dropped literally was not even touching it the second time and heard it fall if you need to use the middle scroller lot do not recommend purchase if you don use that feature then it great mouse ,68,3.0
neutral,it stopped working,3,1.0
positive,my son uses school issued chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bouncing back as undeliverable am sure this has been great product for many and we likely got the dud so am not telling anyone not to buy it but am sharing our experience for others to consider ,170,1.0
negative,loved this cute little mouse but it broke after months the wheel broke off from the gear ,17,1.0
negative,should ve spent the money to get quality product this thing stopped working after about week worthless,17,1.0
neutral,beautifully produced and lovely to look at for mouse the lights are welcome addition to an otherwise drab workspace did notice that it tends to go into sleep mode quickly but takes longer wake up time than expect on screen busy with windows the cursor freezes in position until the mouse fully comes back to life it frustrating for anyone who isn patient ,63,3.0
negative,first one broke in week they sent replacement and returned broken one and it still hasn processed return now new one broke weeks later would not recommend this mouse,29,2.0
negative,i don typically write reviews but keep having this issue with tech products from amazon the mouse stopped working after months of use it charges and sometimes can get short term use out of it but it very glitchy and lags across the screen ,44,1.0
neutral,i liked the wireless mouse however after months the roller on the mouse stopped working which leaves me not being able to scroll up or down on my pc ll have to look into buying more sturdy mouse ,38,1.0
neutral,the wheel from the mouse not working anymore it only lasted for about months really nice mouse but doesn last ,20,3.0
negative,nothing but issues the scroll wheel broke for no reason at all no longer holds charge would not recommend ,19,1.0
neutral,wouldn recommend have been trying to charge it for days ,10,1.0
neutral,i bought this in late june it looks cool with the lights and all it doesn give warning that the battery is low just stops working now it is doing all kinds of weird stuff clicking on items that you didn etc too late to return oh well not recommended ,50,1.0
neutral,after few weeks the scroll wheel stopped working returning it ,10,2.0
neutral,this is the second time have ordered this mouse actually really like the mouse except for the fact that they keep breaking and have to order new one so for that reason am only going to give you two stars ordered this particular mouse only two months ago and it already broken should get my money back ,57,2.0
positive,excellent for price ,3,5.0
negative,disappointed in this mouse the wheel broke after months ,9,1.0
neutral,it felt like it would break easily and the texture of the mouse would get dirty quickly ,17,3.0
neutral,bought this mouse on december its october and no matter how long charge it the only thing it does is blink the red light once and die don recommend this at all ,32,1.0
negative,it works ok nothing spectacular if you re gamer or use the mouse quite bit you have to charge it about once day or it starts lagging and causes things to crash or freeze up due to the lag ,39,3.0
negative,unfortunately this mouse stopped working after month of use can replace the item or get refund ,16,1.0
negative,i had no issues with the mouse but dropped it from not even ft from the ground on accident of course and the spin wheel and the left clicker broke ve ordered another one and hope it lasts longer than this one did ,43,4.0
neutral,bought months ago now have to charge it every other day ,11,2.0
positive,like design not function frustrating,5,2.0
neutral,we tried several different ways to charge it and it would not hold charge over minutes ,16,1.0
neutral,i bought this mouse to go with my work laptop when have to travel to sites hate using the pad that is built into the laptop this is cute and little am thinking about using it for my personal laptop when gaming or doing school work ,46,5.0
positive,got two of these with colors that matched out tablets easy to transport and just right feel in my hand so far they work perfectly and at what would consider great price ,32,5.0
neutral,the mouse wheel broke and just spins now used this for my work laptop and loved it but if this is the quality it is will not buy another,29,2.0
neutral,i liked this product until is stopped working months later ,10,2.0
positive,i ve actually purchased two of these and both broke in the same way the scroller do not recommend if you need them for any kind of gaming that requires the scroller need to use it for camera angles in game and without it gameplay is awful won be buying third one but if that not gonna be problem for you then these will probably be great they hold charge well and the light show they put on is really cool ,81,2.0
neutral,easy to use,3,5.0
positive, it an excellent product if you re looking for wireless mouse good price and with high load durability that correct use it for work in arcgis excellent service,28,5.0
